"","Cell","Case","Class","AngleCh1","AngleStatusCh1","AreaCh1","AreaStatusCh1","AvgIntenCh1","AvgIntenCh2","AvgIntenCh3","AvgIntenCh4","AvgIntenStatusCh1","AvgIntenStatusCh2","AvgIntenStatusCh3","AvgIntenStatusCh4","ConvexHullAreaRatioCh1","ConvexHullAreaRatioStatusCh1","ConvexHullPerimRatioCh1","ConvexHullPerimRatioStatusCh1","DiffIntenDensityCh1","DiffIntenDensityCh3","DiffIntenDensityCh4","DiffIntenDensityStatusCh1","DiffIntenDensityStatusCh3","DiffIntenDensityStatusCh4","EntropyIntenCh1","EntropyIntenCh3","EntropyIntenCh4","EntropyIntenStatusCh1","EntropyIntenStatusCh3","EntropyIntenStatusCh4","EqCircDiamCh1","EqCircDiamStatusCh1","EqEllipseLWRCh1","EqEllipseLWRStatusCh1","EqEllipseOblateVolCh1","EqEllipseOblateVolStatusCh1","EqEllipseProlateVolCh1","EqEllipseProlateVolStatusCh1","EqSphereAreaCh1","EqSphereAreaStatusCh1","EqSphereVolCh1","EqSphereVolStatusCh1","FiberAlign2Ch3","FiberAlign2Ch4","FiberAlign2StatusCh3","FiberAlign2StatusCh4","FiberLengthCh1","FiberLengthStatusCh1","FiberWidthCh1","FiberWidthStatusCh1","IntenCoocASMCh3","IntenCoocASMCh4","IntenCoocASMStatusCh3","IntenCoocASMStatusCh4","IntenCoocContrastCh3","IntenCoocContrastCh4","IntenCoocContrastStatusCh3","IntenCoocContrastStatusCh4","IntenCoocEntropyCh3","IntenCoocEntropyCh4","IntenCoocEntropyStatusCh3","IntenCoocEntropyStatusCh4","IntenCoocMaxCh3","IntenCoocMaxCh4","IntenCoocMaxStatusCh3","IntenCoocMaxStatusCh4","KurtIntenCh1","KurtIntenCh3","KurtIntenCh4","KurtIntenStatusCh1","KurtIntenStatusCh3","KurtIntenStatusCh4","LengthCh1","LengthStatusCh1","MemberAvgAvgIntenStatusCh2","MemberAvgTotalIntenStatusCh2","NeighborAvgDistCh1","NeighborAvgDistStatusCh1","NeighborMinDistCh1","NeighborMinDistStatusCh1","NeighborVarDistCh1","NeighborVarDistStatusCh1","PerimCh1","PerimStatusCh1","ShapeBFRCh1","ShapeBFRStatusCh1","ShapeLWRCh1","ShapeLWRStatusCh1","ShapeP2ACh1","ShapeP2AStatusCh1","SkewIntenCh1","SkewIntenCh3","SkewIntenCh4","SkewIntenStatusCh1","SkewIntenStatusCh3","SkewIntenStatusCh4","SpotFiberCountCh3","SpotFiberCountCh4","SpotFiberCountStatusCh3","SpotFiberCountStatusCh4","TotalIntenCh1","TotalIntenCh2","TotalIntenCh3","TotalIntenCh4","TotalIntenStatusCh1","TotalIntenStatusCh2","TotalIntenStatusCh3","TotalIntenStatusCh4","VarIntenCh1","VarIntenCh3","VarIntenCh4","VarIntenStatusCh1","VarIntenStatusCh3","VarIntenStatusCh4","WidthCh1","WidthStatusCh1","XCentroid","YCentroid"
"2",207932307,"Train","PS",133.752036738381,0,819,1,31.923273657289,205.878516624041,69.9168797953964,164.153452685422,0,0,0,0,1.26315789473684,1,0.797080136606939,2,31.875,43.1222826086956,79.3084239130435,0,0,0,6.08759219182767,6.64276065252259,7.88015471810724,0,1,1,32.3055843480738,1,1.55839419175473,0,2232.90548459876,1,1432.82456801546,1,3278.72562358277,1,17653.5245311406,1,0.487935410984642,0.352374246676077,0,0,64.2823016058904,1,13.1670790598253,0,0.0280510612643489,0.0125949750411081,0,0,8.2279529456072,6.9840456660962,0,0,6.82213758358469,7.09898842820841,0,0,0.153214774281806,0.0738714090287278,0,0,-0.248769067291953,-0.33078389963062,-0.265263786265582,0,0,0,47.2185480140471,1,0,0,174.444157106608,2,30.1111414430318,0,81.380632751492,2,154.898761331431,1,0.539758366755792,2,1.46818085332945,0,2.25581038097736,0,0.39870467453184,0.61973078559163,0.527263128574096,0,0,0,4,11,1,1,24964,160997,54675,128368,0,1,1,1,18.8092251818892,56.7153524052215,118.388138714715,0,0,0,32.1612612689832,1,215,347
"3",207932463,"Train","WS",106.646387269631,0,431,0,28.0388349514563,115.315533980583,63.9417475728155,106.696601941748,0,0,0,0,1.05330990041008,0,0.935474953289456,0,32.4877102199224,35.9857697283312,51.3570504527814,0,0,0,5.88355654897469,6.68300002875443,7.14460116868278,0,1,0,23.4489193276163,0,1.37538618803506,0,802.194543936885,0,583.250399717142,0,1727.410430839,0,6750.98463973777,0,0.300521978953654,0.522315823937043,0,0,21.1411495779596,0,21.1411495779596,1,0.00686231526736627,0.00614169110800115,0,0,14.4460737715892,16.7008434864105,0,1,7.58010023855536,7.67147821856419,1,1,0.0283505154639175,0.0231958762886598,2,2,-0.293484630013889,1.05128133586763,0.150614005698112,0,0,0,28.1430314458103,0,0,0,158.477377031636,2,34.9447652920318,0,90.4376825502776,2,84.5645983118383,0,0.724311593036412,1,1.32840848795654,0,1.27219265225152,0,0.472487087102181,0.971378787000512,0.324706503966084,0,0,0,2,6,0,0,11552,47510,26344,43959,0,0,0,0,17.2956430509413,37.6710533054249,49.4705236165922,0,0,0,21.1855251610911,0,371,252
"4",207932470,"Train","PS",69.1503248054558,0,298,0,19.4561403508772,101.294736842105,28.2175438596491,31.0280701754386,0,0,0,2,1.20262510254307,0,0.865829114035626,2,26.7322834645669,22.9173228346457,26.3937007874016,2,0,2,5.42006493167742,5.43673168916795,5.77832948115852,2,0,0,19.5027859613922,0,3.39122021854044,1,724.714309992287,0,213.703110765304,0,1194.93197278912,0,3884.08375062171,0,0.220423900853116,0.733250443828511,0,1,43.1411228333584,0,7.40441241566111,2,0.0309620712697554,0.0110331951204855,0,0,7.29945736434108,13.3908837209302,0,1,6.31264099211293,7.19702609874156,0,0,0.162790697674419,0.0775193798449612,0,0,0.625856124168236,0.12774060654257,-0.347293645255744,0,0,0,37.8595737382124,0,0,0,206.334368716156,0,33.0802981009691,0,116.892757027932,0,101.091070498039,0,0.589162544598302,0,2.82685399911862,1,2.54584001795943,1,0.881671383534612,0.99989279835628,0.604439875533227,1,0,0,4,7,1,0,5545,28869,8042,8843,0,0,0,2,13.8189676099506,30.0056434622124,24.7495366207621,0,0,2,13.3928295377181,0,487,295
"12",207932484,"Train","WS",109.416426339951,0,256,0,18.8285714285714,125.938775510204,13.6,46.8,0,0,0,0,1.08187134502924,0,0.9204595196506,0,28.0200445434298,14.8708240534521,32.6971046770601,2,2,2,5.38327217931088,4.15118272863746,6.1940345736679,2,0,0,18.0824497411445,0,1.37874785101652,0,368.309652862156,0,267.133437481415,0,1027.22222222222,0,3095.78236772001,0,0.36423598827108,0.480868569164531,0,0,22.2974337811907,0,12.0578760998205,0,0.108161298130552,0.00995182951397715,0,0,6.16058459340397,10.5906853990554,0,0,5.04406682956585,7.126899927617,0,0,0.315315315315315,0.0585585585585586,0,0,-0.364691438040118,1.08333285939406,-0.62627037569786,0,0,0,23.0554683732469,0,0,0,263.634512997657,0,38.4303784905861,0,88.504105548321,2,68.7106197620226,0,0.634791385440789,0,1.31393689731363,0,1.39736414145144,0,0.546737216176003,1.43236317491446,0.703800653492175,0,0,0,0,5,2,0,4613,30855,3332,11466,0,0,0,0,13.9229365891433,18.6430268191512,40.3317467501516,0,0,2,17.546861208011,0,211,495
"15",207932459,"Train","PS",104.278653971599,0,258,0,17.5708502024291,124.368421052632,22.4615384615385,71.2064777327935,0,0,0,0,1.07572815533981,0,0.931300185891293,0,27.8761061946903,16.1194690265487,36.1858407079646,2,0,0,5.18427760984627,5.4862246378924,6.62463901595002,2,0,0,18.1561056458085,0,1.61605288830923,0,403.640527615644,0,249.769379786788,0,1035.60770975057,0,3133.76716430751,0,0.359418412121278,0.244307807602772,0,0,26.5285566331076,0,10.1742391624032,0,0.0130348806631185,0.00896299047732145,0,0,9.4020564042303,10.3015276145711,0,0,6.95748710195191,7.14478378777412,0,0,0.0739130434782609,0.0347826086956522,0,0,-0.556261231459724,-0.512318606372886,-0.647157526748154,0,0,0,26.3196038368232,0,0,0,231.152945436626,0,29.848920414089,0,103.458120548506,0,73.4055915910215,0,0.557002198187631,2,1.49032271695925,0,1.58865752761098,0,0.443092384148409,0.555675494193287,0.137225244831249,0,0,0,1,4,0,0,4340,30719,5548,17588,0,0,0,0,12.3249705588758,17.7471426240211,41.9285332602849,0,0,2,17.6603386215061,0,172,207
"16",207827779,"Train","PS",77.9919429315845,0,358,0,42.2836257309942,217.131578947368,42.3216374269006,67.5409356725146,0,0,0,0,1.0378301213419,0,0.961269792079781,0,43.309375,43.365625,56.04375,0,0,0,6.13658265703465,5.87002694789525,5.99569934093498,0,0,0,21.3642316104992,0,1.46821024364656,0,626.83730449226,0,426.939743272326,0,1433.91836734694,0,5105.76068509147,0,0.478963805329504,0.466576855709645,0,0,25.1269583288202,0,14.6108860868071,0,0.0249826387044088,0.0442250988476806,0,0,11.8410769411121,8.08477589777656,0,0,6.7948636810031,6.36163505819174,0,0,0.140127388535032,0.199386503067485,0,0,-0.261787170964238,0.809501425829142,0.728679347990055,0,0,0,27.8042084459973,0,0,0,213.948710742099,0,11.4465384562489,2,105.150591975946,0,79.4756888312545,0,0.663542429442453,0,1.43095288164102,0,1.36911424659305,0,0.256518283103851,1.07109398577385,1.04544620516087,0,0,0,1,5,0,0,14461,74259,14474,23099,0,0,0,0,20.9564773377977,42.3163600412818,66.9657092772678,0,0,0,19.430554844064,0,276,385
"17",207827784,"Train","PS",13.6599724743225,2,158,0,31.4105960264901,102.211920529801,41.4900662251656,116.119205298013,0,0,0,0,1.37931034482759,1,0.896038690658644,0,38.4503816793893,37.6488549618321,74.9236641221374,0,0,0,5.75626090879832,5.81434743205889,6.12137748454536,2,0,0,14.1958923758281,2,1.47769368797401,0,184.49269735769,0,124.851786848083,0,633.104308390023,0,1497.91343742965,0,0.724509882569051,0.597204582507185,1,1,27.6324863791854,0,6.05032986544081,2,0.0123197174814308,0.0208874822729718,0,0,11.9135780885781,6.15489510489512,0,0,6.79691998692845,6.48546518621889,0,0,0.0681818181818182,0.113636363636364,0,0,-0.365908061414884,-0.278824668690064,-0.707398536288731,0,0,0,20.5669112740516,0,0,0,228.970126563939,0,17.4047619047619,0,112.561225595896,0,67.3656324892525,0,0.442380807076391,2,1.18227674704136,0,2.16005757979321,0,0.41807947283813,0.881334809417757,0.725883896872257,0,0,0,4,4,1,0,4743,15434,6265,17534,0,2,0,0,20.5858794024103,40.6530901947161,109.643608520673,0,0,0,17.3960211308563,0,239,404
"19",207827645,"Train","WS",106.844369325432,0,315,0,294.767441860465,491.734219269103,193.435215946844,400.451827242525,1,1,1,1,1.01451612903226,0,0.977543717247927,0,154.578014184397,100.315602836879,237.40780141844,1,1,1,7.40263495116104,6.76102507326777,7.56094161969484,1,1,1,20.0427575174131,0,1.01664705536952,0,430.681678887371,0,423.629495224214,0,1262.01587301587,0,4215.71302099726,0,0.273583155947408,0.0189748876166053,0,2,16.753579150457,0,16.753579150457,1,0.0331566571098034,0.00949084553090892,0,0,5.69680851063829,8.22517730496452,0,0,6.39014717384166,7.16184245225654,0,0,0.163120567375887,0.0460992907801418,0,0,38.9742849796824,-1.19024917815004,-1.33287518902538,1,0,0,21.2878357461897,0,0,0,288.197343812122,0,49.9258066314452,1,119.63998688348,0,67.014316601828,0,0.716174028852179,0,1.02867163139772,0,1.09982281490409,0,5.27421648983253,0.177126587576444,0.223907828539272,1,2,0,2,2,0,0,88725,148012,58224,120536,1,1,1,1,201.368686518205,152.312102933537,305.582829392597,1,1,1,20.6944909302735,0,95,95
"23",208319730,"Train","WS",84.6540357293254,0,246,0,582.795744680851,244.344680851064,86.4,65.8808510638298,1,0,0,0,1.03853955375254,0,0.969827751232752,1,200.117782909931,72.5612009237875,35.6189376443418,1,0,0,7.63500678698681,5.63288226523926,6.08439803496541,1,0,0,17.7095756791997,0,1.26264522865658,0,331.103685427514,0,262.230179873883,0,985.2947845805,0,2908.19209230818,0,0.584840012907869,0.353767010916258,0,0,15.4920072213511,0,15.4920072213511,1,0.0764519903956531,0.0326248741975191,0,0,6.11459355664605,6.52739492212503,0,0,5.80139314565407,6.44943119828318,0,0,0.26605504587156,0.169724770642202,0,0,-0.94837736406154,1.28749856766747,-0.18097838907063,0,0,0,20.8640630579465,0,0,0,301.175129486186,1,19.2356345668192,0,121.860895289465,0,61.9680288854046,0,0.673871959301894,0,1.19088264384181,0,1.18268114392299,0,0.0763640168806457,1.42526296266881,0.564283397095474,2,0,0,2,5,0,0,136957,57421,20304,15482,1,0,0,0,307.296185322576,110.351515718075,52.9868174625312,1,0,0,17.5198313333702,0,438,16
"25",208333252,"Train","WS",123.793870553676,0,223,0,375.046948356807,292.183098591549,112.103286384977,464.544600938967,1,0,0,1,1.01126126126126,2,0.985819841546646,1,124.297709923664,78.9745547073791,281.834605597964,1,0,1,7.50226936199495,5.41355242306705,6.76625988738921,1,0,0,16.8602506312667,0,1.11527081114884,0,268.522773084876,0,240.769121186155,0,893.054421768708,0,2509.52022973022,0,0.332004856072946,0.298966669535293,0,0,14.1940553409332,0,14.1940553409332,1,0.0857372881688574,0.0254734487696872,0,0,4.46716046824821,8.8833264270175,0,0,5.37585214055505,6.57845558410139,0,0,0.289340101522843,0.137055837563452,0,0,-0.765524747910905,7.54996963432141,-1.20162080996294,0,0,0,18.7383393879834,0,0,0,249.164488727162,0,38.5529203096094,0,114.022131799759,0,56.7762213637328,0,0.699361821520127,1,1.0998822355158,0,1.10237467777118,2,-0.123165037246479,2.51423478233203,0.200492536113821,2,1,0,2,1,0,2,79885,62235,23878,98948,1,0,0,1,164.780883538988,179.791581577395,363.499868107325,1,0,1,17.0366779123366,0,386,14
